policy,speed_ratio,w_align,n,safe_mean,chi_mean,chi_local_mean,tau_mean,xi_mean
p0_nearest,0.9,0.0,120,0.3636067708333333,0.32941694608646327,5.191436250525917,189.30557211066082,6.958333333333333
p0_nearest,0.9,0.05,120,0.3630859375,0.6560301755569801,4.297358530668843,192.55423668651596,11.354166666666666
p0_nearest,0.9,0.1,120,0.3671875,1.402941520822992,3.0078775579906742,195.1262036166469,13.708333333333334
p0_nearest,0.9,0.15,120,0.3699869791666667,2.531980021864833,1.7736756053483143,197.17505148959143,16.541666666666668
p0_nearest,0.9,0.2,120,0.3748697916666667,3.20552277287806,1.0958526547690148,197.7470085292754,18.166666666666668
p0_nearest,0.9,0.25,120,0.37649739583333336,4.054843435927227,0.8533293313673501,198.9488320324941,19.458333333333332
p0_nearest,0.9,0.3,120,0.3694661458333333,4.321584667038254,0.6643083110785309,198.68235621815882,19.791666666666668
p0_nearest,0.9,0.35,120,0.3826822916666667,4.022869174922693,0.4033574542333181,198.1475911672059,23.041666666666668
p0_nearest,0.9,0.4,120,0.373046875,4.486137549543236,0.2331488883894693,197.0452221481387,23.416666666666668
p0_nearest,0.9,0.45,120,0.36419270833333334,4.276972844378761,0.24751502210491796,197.17622056750255,23.291666666666668
p0_nearest,0.9,0.5,120,0.2604166666666667,4.397621055247423,0.1902783288897749,196.99376012792794,21.708333333333332
p0_nearest,0.9,0.55,120,0.1900390625,4.485984963709014,0.07479166761629497,198.37590080122135,22.583333333333332
p0_nearest,0.9,0.6,120,0.17994791666666668,4.799320438729007,0.12258518839361358,198.16305801518865,22.25
p0_nearest,0.9,0.65,120,0.16875,4.697269538832555,0.05532054317381193,196.1174401109869,21.375
p0_nearest,0.9,0.7,120,0.15638020833333333,4.325731263023431,0.04788469793619319,196.48990255602908,23.541666666666668
p0_nearest,0.9,0.75,120,0.14641927083333334,4.829788428570795,0.05859153546468427,193.3146594782025,24.041666666666668
p0_nearest,0.9,0.8,120,0.13743489583333332,5.00814511246006,0.023491821241540138,198.38209222115802,23.291666666666668
p0_nearest,0.9,0.85,120,0.12727864583333334,5.421214229952847,0.028241658425556673,197.9700577699763,25.875
p0_nearest,0.9,0.9,120,0.1275390625,4.772759116660137,0.04195892914699207,196.63221188208203,23.791666666666668
p0_nearest,0.9,0.95,120,0.10091145833333333,4.934855016671845,0.019501126044733367,197.6046151949874,27.041666666666668
p0_nearest,0.9,1.0,120,0.06966145833333333,4.296927321020888,3.416623332857285,196.75671845694498,27.291666666666668
p0_nearest,1.1,0.0,120,0.3270182291666667,0.21416944832540313,4.543848005138127,179.69709199168227,5.416666666666667
p0_nearest,1.1,0.05,120,0.3299479166666667,0.4415589863214456,4.217742789581222,187.04312229004864,9.729166666666666
p0_nearest,1.1,0.1,120,0.3390625,1.4309705742848196,2.654313144613415,191.81759019464582,13.208333333333334
p0_nearest,1.1,0.15,120,0.34544270833333335,2.389411634692805,1.627465075266655,197.56158561560906,15.291666666666666
p0_nearest,1.1,0.2,120,0.3409505208333333,3.3297568952392935,1.0900101130000863,198.618572852446,18.625
p0_nearest,1.1,0.25,120,0.346875,3.9552658092253172,0.5880237270567222,198.41857529818273,19.583333333333332
p0_nearest,1.1,0.3,120,0.34088541666666666,4.0218477131508585,0.38437257490782645,198.85498053964469,20.833333333333332
p0_nearest,1.1,0.35,120,0.3444010416666667,4.341688961845293,0.30726361601563923,198.17060695588364,21.833333333333332
p0_nearest,1.1,0.4,120,0.3348307291666667,4.20589397246697,0.305687034315506,198.627667173897,21.666666666666668
p0_nearest,1.1,0.45,120,0.33346354166666664,3.4498121048563744,0.23092092977374615,193.36593772294768,22.0
p0_nearest,1.1,0.5,120,0.24108072916666667,3.6837611902850207,0.0914046554560563,197.50014464491142,22.333333333333332
p0_nearest,1.1,0.55,120,0.1806640625,3.5359951197936486,0.1338085590525661,198.5083955391254,23.041666666666668
p0_nearest,1.1,0.6,120,0.1599609375,3.9231879832506045,0.17342425538340772,196.7636704348606,23.5
p0_nearest,1.1,0.65,120,0.14615885416666666,3.8244134173680076,0.1511040519175067,198.18691926696692,21.791666666666668
p0_nearest,1.1,0.7,120,0.133203125,4.458726149814463,0.048269176515635843,197.18019993739188,22.5
p0_nearest,1.1,0.75,120,0.12194010416666666,4.376529639922099,0.04565305836189283,197.28117498166915,23.333333333333332
p0_nearest,1.1,0.8,120,0.11536458333333334,4.4381852438770775,0.0580075963700836,198.99999999999986,23.208333333333332
p0_nearest,1.1,0.85,120,0.10638020833333334,4.344613531159028,0.05274095942894201,198.3028069534126,24.541666666666668
p0_nearest,1.1,0.9,120,0.102734375,4.6283861579415,0.02911074728172874,197.42938285769543,26.0
p0_nearest,1.1,0.95,120,0.09954427083333334,4.971818638043901,0.05651216791247881,196.06355795586322,26.125
p0_nearest,1.1,1.0,120,0.05904947916666667,4.786667689937184,8.648213584806854,195.04557270776317,28.833333333333332
