variant,speed_ratio,seed,safe_frac,soc_branch_ratio,soc_topple_steps,avalanche_count,avalanche_size_mean,avalanche_size_p95,avalanche_duration_mean,activity_beta
baseline,1.1,0,0.3046875,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,1,0.40625,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,2,0.4375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,3,0.34375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,4,0.3984375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,5,0.3125,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,6,0.328125,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,7,0.40625,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,8,0.40625,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,9,0.3671875,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,10,0.3203125,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,11,0.421875,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,12,0.3984375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,13,0.3515625,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,14,0.4140625,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,15,0.375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,16,0.3515625,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,17,0.3984375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,18,0.359375,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.1,19,0.3828125,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.3,0,0.3046875,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.3,1,0.3046875,0.0,0.0,0,0.0,0.0,0.0,nan
baseline,1.3,2,0.328125,0.0,0.0,0,0.0,0.0,0.0,nan
