variant,speed_ratio,n,safe_mean,safe_ci95,captured_mean,chi_mean,chi_local_mean,tau_mean,xi_mean,topple_steps_mean,topple_events_mean,topple_size_mean,branch_ratio_mean,branch_gap_abs
baseline,1.1,30,0.38385416666666666,0.014136187314350302,0.006510416666666667,1.5138342701005738,2.0630080615623236,190.04646833859564,16.833333333333332,0.0,0.0,0.0,0.0,1.0
baseline,1.3,30,0.34010416666666665,0.015758914170656637,0.20651041666666667,1.5397370627039917,1.322105675635106,192.13019022103927,16.5,0.0,0.0,0.0,0.0,1.0
soc_th024_cp010_rx000,1.1,30,0.3575520833333333,0.016444334786839418,0.0046875,0.5758450223024353,3.9455741889257427,196.3727019734926,11.916666666666666,571.7666666666667,2128.233333333333,3.71105730260567,1.1255936669112192,0.1255936669112192
soc_th024_cp010_rx000,1.3,30,0.3111979166666667,0.015730670576843644,0.20703125,0.5032733453179267,3.4470580950578267,187.51604828449072,11.083333333333334,578.3333333333334,2200.366666666667,3.799989006334186,1.1007035282041184,0.10070352820411843
soc_th024_cp010_rx003,1.1,30,0.3828125,0.018989543827709048,0.005989583333333334,1.006959449898503,2.651009177043635,192.28309592860066,15.666666666666666,563.2,2199.1,3.8889099703842414,1.1239037882570393,0.1239037882570393
soc_th024_cp010_rx003,1.3,30,0.34869791666666666,0.01599233778551544,0.20572916666666666,1.1717888246952723,2.884433936440922,192.46037969730418,15.833333333333334,566.0333333333333,2246.0666666666666,3.956591558876837,1.095022763764327,0.09502276376432706
soc_th024_cp022_rx000,1.1,30,0.35625,0.01901223824133819,0.004427083333333333,0.4517719940985406,4.932644241152308,188.50946169203314,11.166666666666666,589.8333333333334,3894.8,6.59719398898559,1.0657264991132318,0.0657264991132318
soc_th024_cp022_rx000,1.3,30,0.32890625,0.017518266777487225,0.21171875,0.544620789439247,2.515281072864597,187.82179581672273,10.0,585.5,3369.0666666666666,5.749956245260923,1.0744699103221764,0.07446991032217642
soc_th024_cp022_rx003,1.1,30,0.35234375,0.01867974956288334,0.003125,0.7728204396460795,3.932514828285599,193.1539670721934,14.333333333333334,591.0666666666667,4410.733333333334,7.456143240305622,1.0649978793888115,0.06499787938881152
soc_th024_cp022_rx003,1.3,30,0.334375,0.021028790728700834,0.20546875,1.148660444135111,3.456012534926612,192.87829349723714,14.166666666666666,581.4,3605.8333333333335,6.191498381063826,1.0703677974188852,0.07036779741888521
soc_th030_cp010_rx000,1.1,30,0.3703125,0.013864114698203507,0.0046875,0.5095819983152478,3.692363184163546,194.33748023946285,11.75,564.7333333333333,1937.6666666666667,3.419298266114659,1.1167861585593999,0.11678615855939989
soc_th030_cp010_rx000,1.3,30,0.3294270833333333,0.015951840821818827,0.19817708333333334,0.4725374386790943,3.0890821218067073,191.0937512263571,11.75,567.2666666666667,2025.3333333333333,3.55857626052885,1.0886865923016573,0.08868659230165732
soc_th030_cp010_rx003,1.1,30,0.37421875,0.015441322340208563,0.00546875,0.7608904857442911,2.727482180998591,195.2286388437833,14.833333333333334,561.1,2051.6666666666665,3.6466454632585776,1.117032633103947,0.11703263310394707
soc_th030_cp010_rx003,1.3,30,0.32916666666666666,0.01651057745398339,0.2078125,1.3093561141196557,2.3326368292636293,189.9806715805516,16.0,561.6,2105.0333333333333,3.7383737243109816,1.0902681470554605,0.09026814705546049
soc_th030_cp022_rx000,1.1,30,0.3734375,0.01862267231655463,0.005729166666666666,0.43055725088046426,4.133184778323528,197.7353525660199,11.333333333333334,582.2,3482.1666666666665,5.975905665658505,1.0705910677785562,0.07059106777855617
soc_th030_cp022_rx000,1.3,30,0.33125,0.013980264016405085,0.20260416666666667,0.447619606240304,3.7850418029599653,188.46705913564765,9.666666666666666,583.6666666666666,3067.866666666667,5.252130015646344,1.0665177354239626,0.06651773542396255
