variant,speed_ratio,n_pairs,delta_safe_mean,delta_safe_ci95,delta_safe_lo,delta_safe_hi,delta_pred_entropy_var_mean,delta_pred_entropy_var_ci95
soc_v3_eg14_th036,1.0,200,-0.006875,0.01159455304415206,-0.01846955304415206,0.004719553044152059,0.03261980649895125,0.0001735291854354457
soc_v3_eg14_th028,1.0,200,-0.0052734375,0.01045607496426976,-0.015729512464269763,0.00518263746426976,0.03231595612471729,0.00016576811852090604
soc_v3_eg14_th036,1.1,200,-0.0022265625,0.011934975531874012,-0.014161538031874012,0.009708413031874013,0.03276165679329496,0.00016818087788548068
soc_v3_eg14_th028,1.1,200,-0.00015625,0.011183525812882627,-0.011339775812882627,0.011027275812882627,0.03217380968490581,0.0001681268248493595
soc_v3_eg14_th036,1.2,200,0.0044921875,0.01123108654011381,-0.006738899040113811,0.01572327404011381,0.033237642891439816,0.00019318717534614054
soc_v3_eg14_th028,1.2,200,-0.0004296875,0.011155168779664743,-0.011584856279664742,0.010725481279664743,0.03254003070794794,0.0001688503913643732
soc_v3_eg14_th036,1.3,200,-0.0107421875,0.009609015647645125,-0.020351203147645124,-0.0011331718523548747,0.0341843362921271,0.00020553682901296245
soc_v3_eg14_th028,1.3,200,-0.0106640625,0.009676671990400974,-0.020340734490400976,-0.0009873905095990256,0.03326512094104938,0.00018649296982273974
soc_v3_eg14_th036,1.4,200,-0.012109375,0.009392803381772667,-0.021502178381772666,-0.002716571618227333,0.03469735300296411,0.00020275290000810995
soc_v3_eg14_th028,1.4,200,-0.0073046875,0.00870417606501453,-0.01600886356501453,0.001399488565014529,0.0341849447711501,0.00019333301961186602
