variant,speed_ratio,seed,safe_frac,captured_frac,soc_branch_ratio,soc_pred_entropy_var
baseline,1.0,0,0.3828125,0.0,0.0,0.0
baseline,1.0,1,0.359375,0.0,0.0,0.0
baseline,1.0,5,0.375,0.0078125,0.0,0.0
baseline,1.0,3,0.40625,0.0078125,0.0,0.0
baseline,1.0,2,0.453125,0.0,0.0,0.0
baseline,1.0,4,0.4296875,0.0078125,0.0,0.0
baseline,1.0,7,0.3125,0.0,0.0,0.0
baseline,1.0,6,0.4296875,0.0,0.0,0.0
baseline,1.0,8,0.4453125,0.0,0.0,0.0
baseline,1.0,9,0.359375,0.0078125,0.0,0.0
baseline,1.0,10,0.3828125,0.0,0.0,0.0
baseline,1.0,12,0.4609375,0.0,0.0,0.0
baseline,1.0,11,0.3828125,0.0,0.0,0.0
baseline,1.0,14,0.375,0.0078125,0.0,0.0
baseline,1.0,13,0.421875,0.0,0.0,0.0
baseline,1.0,15,0.359375,0.0078125,0.0,0.0
baseline,1.0,16,0.3671875,0.0,0.0,0.0
baseline,1.0,17,0.359375,0.0,0.0,0.0
baseline,1.0,18,0.296875,0.0,0.0,0.0
baseline,1.0,19,0.3515625,0.0,0.0,0.0
baseline,1.0,20,0.40625,0.0,0.0,0.0
baseline,1.0,21,0.5859375,0.0,0.0,0.0
baseline,1.0,22,0.34375,0.0078125,0.0,0.0
baseline,1.0,23,0.3984375,0.0,0.0,0.0
baseline,1.0,24,0.375,0.0,0.0,0.0
baseline,1.0,25,0.40625,0.0,0.0,0.0
baseline,1.0,26,0.4375,0.0,0.0,0.0
baseline,1.0,27,0.375,0.0078125,0.0,0.0
baseline,1.0,28,0.3828125,0.0,0.0,0.0
baseline,1.0,29,0.34375,0.0078125,0.0,0.0
baseline,1.0,30,0.3125,0.015625,0.0,0.0
baseline,1.0,31,0.3046875,0.0,0.0,0.0
baseline,1.0,32,0.296875,0.0,0.0,0.0
baseline,1.0,33,0.390625,0.0078125,0.0,0.0
baseline,1.0,34,0.3984375,0.0078125,0.0,0.0
baseline,1.0,35,0.359375,0.0,0.0,0.0
baseline,1.0,36,0.3671875,0.0078125,0.0,0.0
baseline,1.0,37,0.359375,0.0,0.0,0.0
baseline,1.0,38,0.4921875,0.0,0.0,0.0
baseline,1.0,39,0.3046875,0.0,0.0,0.0
baseline,1.0,40,0.3984375,0.0078125,0.0,0.0
baseline,1.0,41,0.3046875,0.0,0.0,0.0
baseline,1.0,42,0.4140625,0.0,0.0,0.0
baseline,1.0,43,0.3828125,0.0,0.0,0.0
baseline,1.0,44,0.328125,0.0078125,0.0,0.0
baseline,1.0,45,0.265625,0.0,0.0,0.0
baseline,1.0,46,0.3671875,0.0,0.0,0.0
baseline,1.0,47,0.3671875,0.0,0.0,0.0
baseline,1.0,48,0.2890625,0.0,0.0,0.0
baseline,1.0,49,0.3828125,0.0,0.0,0.0
baseline,1.0,50,0.3359375,0.0,0.0,0.0
baseline,1.0,51,0.296875,0.0,0.0,0.0
baseline,1.0,52,0.3984375,0.0,0.0,0.0
baseline,1.0,53,0.3515625,0.0,0.0,0.0
baseline,1.0,55,0.4140625,0.0,0.0,0.0
baseline,1.0,54,0.4140625,0.0,0.0,0.0
baseline,1.0,56,0.3984375,0.0,0.0,0.0
baseline,1.0,57,0.3515625,0.0,0.0,0.0
baseline,1.0,58,0.3203125,0.0078125,0.0,0.0
baseline,1.0,59,0.453125,0.0,0.0,0.0
baseline,1.0,60,0.359375,0.0234375,0.0,0.0
baseline,1.0,61,0.28125,0.0,0.0,0.0
baseline,1.0,62,0.3828125,0.0078125,0.0,0.0
baseline,1.0,63,0.4609375,0.0,0.0,0.0
baseline,1.0,64,0.421875,0.0,0.0,0.0
baseline,1.0,65,0.3671875,0.0078125,0.0,0.0
baseline,1.0,66,0.46875,0.0078125,0.0,0.0
baseline,1.0,67,0.3671875,0.0,0.0,0.0
baseline,1.0,68,0.3125,0.0,0.0,0.0
baseline,1.0,69,0.3125,0.0,0.0,0.0
baseline,1.0,70,0.375,0.0,0.0,0.0
baseline,1.0,71,0.390625,0.0,0.0,0.0
baseline,1.0,72,0.390625,0.0,0.0,0.0
baseline,1.0,73,0.4765625,0.0,0.0,0.0
baseline,1.0,74,0.4453125,0.0078125,0.0,0.0
baseline,1.0,75,0.421875,0.0078125,0.0,0.0
baseline,1.0,76,0.4375,0.0078125,0.0,0.0
baseline,1.0,77,0.3828125,0.015625,0.0,0.0
baseline,1.0,78,0.3046875,0.0078125,0.0,0.0
baseline,1.0,79,0.390625,0.0,0.0,0.0
baseline,1.1,1,0.40625,0.0,0.0,0.0
baseline,1.1,0,0.3046875,0.0,0.0,0.0
baseline,1.1,2,0.4375,0.0078125,0.0,0.0
baseline,1.1,3,0.34375,0.015625,0.0,0.0
baseline,1.1,4,0.3984375,0.0,0.0,0.0
baseline,1.1,5,0.3125,0.015625,0.0,0.0
baseline,1.1,6,0.328125,0.0078125,0.0,0.0
baseline,1.1,7,0.40625,0.0078125,0.0,0.0
baseline,1.1,8,0.40625,0.0,0.0,0.0
baseline,1.1,9,0.3671875,0.0078125,0.0,0.0
baseline,1.1,11,0.421875,0.0078125,0.0,0.0
baseline,1.1,10,0.3203125,0.0,0.0,0.0
baseline,1.1,13,0.3515625,0.0,0.0,0.0
baseline,1.1,12,0.3984375,0.0,0.0,0.0
baseline,1.1,14,0.4140625,0.015625,0.0,0.0
baseline,1.1,15,0.375,0.0234375,0.0,0.0
baseline,1.1,16,0.3515625,0.0078125,0.0,0.0
baseline,1.1,17,0.3984375,0.0,0.0,0.0
baseline,1.1,18,0.359375,0.0078125,0.0,0.0
baseline,1.1,19,0.3828125,0.0078125,0.0,0.0
baseline,1.1,20,0.375,0.0,0.0,0.0
baseline,1.1,21,0.3515625,0.0078125,0.0,0.0
baseline,1.1,22,0.4296875,0.0078125,0.0,0.0
baseline,1.1,23,0.421875,0.0,0.0,0.0
baseline,1.1,24,0.4140625,0.0078125,0.0,0.0
baseline,1.1,25,0.3515625,0.0078125,0.0,0.0
baseline,1.1,26,0.421875,0.0078125,0.0,0.0
baseline,1.1,27,0.40625,0.015625,0.0,0.0
baseline,1.1,30,0.4296875,0.015625,0.0,0.0
baseline,1.1,29,0.4609375,0.0,0.0,0.0
baseline,1.1,28,0.3984375,0.0078125,0.0,0.0
baseline,1.1,31,0.4765625,0.0078125,0.0,0.0
baseline,1.1,32,0.3984375,0.0,0.0,0.0
baseline,1.1,33,0.4375,0.0078125,0.0,0.0
baseline,1.1,34,0.3984375,0.0078125,0.0,0.0
baseline,1.1,35,0.296875,0.0,0.0,0.0
baseline,1.1,36,0.375,0.015625,0.0,0.0
baseline,1.1,37,0.3984375,0.0078125,0.0,0.0
baseline,1.1,38,0.53125,0.0,0.0,0.0
baseline,1.1,39,0.4609375,0.015625,0.0,0.0
baseline,1.1,40,0.4140625,0.0078125,0.0,0.0
baseline,1.1,41,0.4453125,0.0,0.0,0.0
baseline,1.1,42,0.3984375,0.0,0.0,0.0
baseline,1.1,43,0.453125,0.0,0.0,0.0
baseline,1.1,45,0.265625,0.0,0.0,0.0
baseline,1.1,44,0.359375,0.0078125,0.0,0.0
baseline,1.1,46,0.453125,0.0078125,0.0,0.0
baseline,1.1,47,0.46875,0.0078125,0.0,0.0
baseline,1.1,48,0.3125,0.0,0.0,0.0
baseline,1.1,49,0.4375,0.0,0.0,0.0
baseline,1.1,50,0.2890625,0.0078125,0.0,0.0
baseline,1.1,51,0.328125,0.0078125,0.0,0.0
baseline,1.1,52,0.4140625,0.0,0.0,0.0
baseline,1.1,53,0.34375,0.0078125,0.0,0.0
baseline,1.1,54,0.3125,0.015625,0.0,0.0
baseline,1.1,55,0.359375,0.0078125,0.0,0.0
baseline,1.1,57,0.34375,0.0078125,0.0,0.0
baseline,1.1,56,0.3359375,0.0078125,0.0,0.0
baseline,1.1,58,0.3515625,0.0078125,0.0,0.0
baseline,1.1,59,0.34375,0.0078125,0.0,0.0
baseline,1.1,60,0.4140625,0.0078125,0.0,0.0
baseline,1.1,61,0.390625,0.0078125,0.0,0.0
baseline,1.1,62,0.328125,0.0078125,0.0,0.0
baseline,1.1,63,0.421875,0.0,0.0,0.0
baseline,1.1,65,0.3984375,0.0,0.0,0.0
baseline,1.1,64,0.3671875,0.015625,0.0,0.0
baseline,1.1,66,0.3359375,0.0078125,0.0,0.0
baseline,1.1,67,0.3671875,0.0078125,0.0,0.0
baseline,1.1,68,0.375,0.015625,0.0,0.0
baseline,1.1,69,0.3203125,0.0078125,0.0,0.0
baseline,1.1,70,0.3671875,0.0,0.0,0.0
baseline,1.1,71,0.3828125,0.015625,0.0,0.0
baseline,1.1,72,0.4609375,0.0,0.0,0.0
baseline,1.1,73,0.4375,0.0,0.0,0.0
baseline,1.1,74,0.328125,0.0078125,0.0,0.0
baseline,1.1,75,0.359375,0.0078125,0.0,0.0
baseline,1.1,76,0.4453125,0.0078125,0.0,0.0
baseline,1.1,78,0.359375,0.0078125,0.0,0.0
baseline,1.1,77,0.3671875,0.0078125,0.0,0.0
baseline,1.1,79,0.390625,0.0,0.0,0.0
baseline,1.2,0,0.3671875,0.0546875,0.0,0.0
baseline,1.2,1,0.328125,0.0234375,0.0,0.0
baseline,1.2,2,0.359375,0.0234375,0.0,0.0
baseline,1.2,3,0.4296875,0.03125,0.0,0.0
baseline,1.2,4,0.3125,0.078125,0.0,0.0
baseline,1.2,5,0.3984375,0.0390625,0.0,0.0
baseline,1.2,6,0.2890625,0.0546875,0.0,0.0
baseline,1.2,7,0.4375,0.0546875,0.0,0.0
baseline,1.2,8,0.296875,0.046875,0.0,0.0
baseline,1.2,9,0.359375,0.0703125,0.0,0.0
baseline,1.2,10,0.4140625,0.0078125,0.0,0.0
baseline,1.2,11,0.359375,0.0390625,0.0,0.0
baseline,1.2,12,0.328125,0.0546875,0.0,0.0
baseline,1.2,13,0.375,0.0546875,0.0,0.0
baseline,1.2,14,0.28125,0.0390625,0.0,0.0
baseline,1.2,15,0.390625,0.1015625,0.0,0.0
baseline,1.2,16,0.4296875,0.0546875,0.0,0.0
baseline,1.2,17,0.3203125,0.03125,0.0,0.0
baseline,1.2,19,0.3828125,0.046875,0.0,0.0
baseline,1.2,20,0.3203125,0.0390625,0.0,0.0
baseline,1.2,18,0.1953125,0.046875,0.0,0.0
baseline,1.2,21,0.4375,0.0234375,0.0,0.0
baseline,1.2,22,0.328125,0.078125,0.0,0.0
baseline,1.2,23,0.3671875,0.046875,0.0,0.0
baseline,1.2,24,0.3671875,0.046875,0.0,0.0
baseline,1.2,25,0.296875,0.0625,0.0,0.0
baseline,1.2,26,0.375,0.0546875,0.0,0.0
baseline,1.2,27,0.5390625,0.0703125,0.0,0.0
baseline,1.2,28,0.421875,0.0546875,0.0,0.0
baseline,1.2,29,0.3515625,0.0390625,0.0,0.0
baseline,1.2,30,0.3125,0.0703125,0.0,0.0
baseline,1.2,31,0.3359375,0.046875,0.0,0.0
baseline,1.2,32,0.421875,0.0390625,0.0,0.0
baseline,1.2,33,0.390625,0.046875,0.0,0.0
baseline,1.2,34,0.4140625,0.0546875,0.0,0.0
baseline,1.2,35,0.3203125,0.0390625,0.0,0.0
baseline,1.2,36,0.3359375,0.0625,0.0,0.0
baseline,1.2,37,0.390625,0.0625,0.0,0.0
baseline,1.2,38,0.4453125,0.0390625,0.0,0.0
baseline,1.2,39,0.46875,0.0546875,0.0,0.0
baseline,1.2,40,0.3515625,0.0546875,0.0,0.0
baseline,1.2,41,0.4140625,0.0234375,0.0,0.0
baseline,1.2,44,0.3359375,0.0390625,0.0,0.0
baseline,1.2,43,0.421875,0.0234375,0.0,0.0
baseline,1.2,42,0.3671875,0.0546875,0.0,0.0
baseline,1.2,45,0.3203125,0.0703125,0.0,0.0
baseline,1.2,46,0.3359375,0.1015625,0.0,0.0
baseline,1.2,47,0.3359375,0.0703125,0.0,0.0
baseline,1.2,48,0.3125,0.0703125,0.0,0.0
baseline,1.2,49,0.390625,0.03125,0.0,0.0
baseline,1.2,50,0.296875,0.0703125,0.0,0.0
baseline,1.2,51,0.3046875,0.046875,0.0,0.0
baseline,1.2,52,0.421875,0.0625,0.0,0.0
baseline,1.2,53,0.3828125,0.046875,0.0,0.0
baseline,1.2,54,0.390625,0.0625,0.0,0.0
baseline,1.2,55,0.4375,0.046875,0.0,0.0
baseline,1.2,56,0.28125,0.046875,0.0,0.0
baseline,1.2,57,0.375,0.015625,0.0,0.0
baseline,1.2,58,0.3125,0.0703125,0.0,0.0
baseline,1.2,60,0.3984375,0.09375,0.0,0.0
baseline,1.2,59,0.3828125,0.046875,0.0,0.0
baseline,1.2,62,0.5078125,0.0703125,0.0,0.0
baseline,1.2,61,0.3515625,0.046875,0.0,0.0
baseline,1.2,63,0.2578125,0.0390625,0.0,0.0
baseline,1.2,64,0.2421875,0.0625,0.0,0.0
baseline,1.2,65,0.4453125,0.03125,0.0,0.0
baseline,1.2,66,0.34375,0.0625,0.0,0.0
baseline,1.2,67,0.375,0.046875,0.0,0.0
baseline,1.2,68,0.3359375,0.0625,0.0,0.0
baseline,1.2,69,0.34375,0.0390625,0.0,0.0
baseline,1.2,70,0.3515625,0.03125,0.0,0.0
baseline,1.2,71,0.375,0.0390625,0.0,0.0
baseline,1.2,72,0.390625,0.0625,0.0,0.0
baseline,1.2,73,0.3125,0.0234375,0.0,0.0
baseline,1.2,74,0.328125,0.0390625,0.0,0.0
baseline,1.2,75,0.46875,0.0625,0.0,0.0
baseline,1.2,77,0.3046875,0.03125,0.0,0.0
baseline,1.2,78,0.4140625,0.046875,0.0,0.0
baseline,1.2,76,0.2734375,0.0546875,0.0,0.0
baseline,1.2,79,0.4140625,0.046875,0.0,0.0
baseline,1.3,0,0.3046875,0.140625,0.0,0.0
baseline,1.3,1,0.3046875,0.21875,0.0,0.0
baseline,1.3,2,0.328125,0.2890625,0.0,0.0
baseline,1.3,3,0.34375,0.15625,0.0,0.0
baseline,1.3,4,0.3671875,0.171875,0.0,0.0
baseline,1.3,6,0.3828125,0.140625,0.0,0.0
baseline,1.3,5,0.3359375,0.25,0.0,0.0
baseline,1.3,7,0.3046875,0.2109375,0.0,0.0
baseline,1.3,9,0.3828125,0.25,0.0,0.0
baseline,1.3,8,0.359375,0.2265625,0.0,0.0
baseline,1.3,10,0.359375,0.203125,0.0,0.0
baseline,1.3,11,0.2578125,0.203125,0.0,0.0
baseline,1.3,12,0.3515625,0.2265625,0.0,0.0
baseline,1.3,13,0.265625,0.21875,0.0,0.0
baseline,1.3,14,0.4296875,0.15625,0.0,0.0
baseline,1.3,15,0.2734375,0.234375,0.0,0.0
baseline,1.3,16,0.390625,0.2109375,0.0,0.0
baseline,1.3,17,0.359375,0.125,0.0,0.0
baseline,1.3,19,0.359375,0.28125,0.0,0.0
baseline,1.3,18,0.359375,0.2578125,0.0,0.0
baseline,1.3,20,0.3125,0.2578125,0.0,0.0
baseline,1.3,22,0.3125,0.1875,0.0,0.0
baseline,1.3,21,0.328125,0.21875,0.0,0.0
baseline,1.3,23,0.3671875,0.2265625,0.0,0.0
baseline,1.3,24,0.34375,0.2109375,0.0,0.0
baseline,1.3,25,0.390625,0.203125,0.0,0.0
baseline,1.3,27,0.359375,0.203125,0.0,0.0
baseline,1.3,26,0.25,0.21875,0.0,0.0
baseline,1.3,28,0.40625,0.1171875,0.0,0.0
baseline,1.3,30,0.3515625,0.21875,0.0,0.0
baseline,1.3,29,0.3125,0.1796875,0.0,0.0
baseline,1.3,31,0.2890625,0.2265625,0.0,0.0
baseline,1.3,32,0.3203125,0.234375,0.0,0.0
baseline,1.3,33,0.359375,0.2265625,0.0,0.0
baseline,1.3,35,0.25,0.2421875,0.0,0.0
baseline,1.3,34,0.3125,0.109375,0.0,0.0
baseline,1.3,36,0.453125,0.1953125,0.0,0.0
