variant,soc_enabled,soc_entropy_gain,soc_threshold,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_branch_ratio,soc_topple_steps,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,False,,,1.0,0,0.3828125,0.0,2.622300523244549,5.8442146266309365,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,1,0.359375,0.0,2.2777709553642445,1.3124325620544375,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,5,0.375,0.0078125,0.193369380364139,3.333396512043392,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,3,0.40625,0.0078125,0.8468406703062147,0.7589839124532087,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,2,0.453125,0.0,1.7906422464443361,2.8687002673001993,198.99999999999983,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,4,0.4296875,0.0078125,0.6575498264345955,3.5963288152041173,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,7,0.3125,0.0,0.6542717340583012,1.8040925708189115,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,6,0.4296875,0.0,1.7872280610708977,4.0794768878935885,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,8,0.4453125,0.0,1.7076450963948153,0.40297033083992573,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,9,0.359375,0.0078125,5.885985727698384,2.0641159040089567,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,10,0.3828125,0.0,1.9709545945298623,0.14110386918611426,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,12,0.4609375,0.0,0.8418496678258183,2.582868965132643,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,11,0.3828125,0.0,1.035693521808026,1.5928046302147365,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,14,0.375,0.0078125,2.729098577360649,0.062012696508563815,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,13,0.421875,0.0,1.1056683770905515,0.33144733600725423,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,15,0.359375,0.0078125,2.1576381485864413,3.1847121441338118,198.99999999999983,17.5,0.0,0.0,0.0,0.0
