variant,mean_safe,mean_delta_safe,mean_pred_entropy_var,mean_delta_pred_entropy_var,mean_branch_ratio,mean_topple_steps
soc_v3_eg14_th036,0.34513671874999996,-0.008417968750000004,0.03355554433139126,0.03355554433139126,1.005139374477995,600.0
soc_v3_eg14_th028,0.34476562499999996,-0.008789062500000023,0.03280504858725606,0.03280504858725606,1.0044629842490806,600.0
soc_v3_eg14_th032,0.34382812500000004,-0.009726562500000013,0.03331933965385643,0.03331933965385643,1.0048542731706933,600.0
soc_v3_eg10_th032,0.337109375,-0.01644531250000002,0.037077941922903326,0.037077941922903326,1.014794167415594,599.98
soc_v3_eg10_th028,0.33601562500000004,-0.017539062500000015,0.03684394855443449,0.03684394855443449,1.0143365697051272,599.9625
soc_v3_eg10_th036,0.33470703125000006,-0.01884765625000001,0.03728167891966298,0.03728167891966298,1.0157773201074316,599.9575
soc_v3_eg06_th036,0.32205078125000003,-0.03150390625000001,0.040187202385548286,0.040187202385548286,1.0537516466226233,597.4425
soc_v3_eg06_th028,0.3196875,-0.03386718750000001,0.040011761807077176,0.040011761807077176,1.0479775789039634,598.925
soc_v3_eg06_th032,0.31789062500000004,-0.03566406250000002,0.04027464350893168,0.04027464350893168,1.0498762492980624,598.36
soc_v3_eg02_th032,0.23294921875000002,-0.12060546875,0.04069660599601776,0.04069660599601776,1.2515376414401578,561.2025
soc_v3_eg02_th028,0.23251953125,-0.12103515625000001,0.04077130196053146,0.04077130196053146,1.2469067882810332,567.6625
soc_v3_eg02_th036,0.21277343750000002,-0.14078125000000002,0.04028626801191206,0.04028626801191206,1.1983260032522067,553.9950000000001
soc_v3_no_entropy,0.13353515625,-0.22001953125,0.03940295116148583,0.03940295116148583,1.0934411079946798,484.89000000000004
