gain,seed,delta_safe,varh,safe_soc,safe_base
0.0,7,-0.0234375,0.03588829624839944,0.234375,0.2578125
0.0,5,-0.09375,0.0370718627779889,0.296875,0.390625
0.0,1,-0.125,0.04040149594826996,0.2109375,0.3359375
0.0,4,-0.296875,0.03803064924626239,0.15625,0.453125
0.0,2,-0.109375,0.03648319947724867,0.2421875,0.3515625
0.0,3,-0.09375,0.03555845269142132,0.2421875,0.3359375
0.0,0,-0.171875,0.03535437953906179,0.234375,0.40625
0.0,6,-0.125,0.03738386124649306,0.2109375,0.3359375
0.0,8,-0.1015625,0.03590540757783348,0.1796875,0.28125
0.0,9,-0.1171875,0.03959640721693169,0.2265625,0.34375
0.0,13,-0.25,0.042104186692074726,0.109375,0.359375
0.0,15,-0.203125,0.039903688016078354,0.1484375,0.3515625
0.0,12,-0.140625,0.036113089739138814,0.21875,0.359375
0.0,10,-0.1640625,0.040171599949316905,0.2109375,0.375
0.0,11,-0.125,0.03542377057275766,0.1796875,0.3046875
0.0,14,-0.2421875,0.03446681591595433,0.2421875,0.484375
0.0,16,-0.078125,0.04345622027887042,0.2734375,0.3515625
0.0,17,-0.1015625,0.037686865137607745,0.234375,0.3359375
0.0,19,-0.1796875,0.034967955871432393,0.1796875,0.359375
0.0,18,-0.109375,0.03604615481848645,0.1875,0.296875
0.0,20,-0.0859375,0.035591481194569875,0.1953125,0.28125
0.0,22,-0.203125,0.03688569757134307,0.078125,0.28125
0.0,21,-0.171875,0.03939360159880543,0.171875,0.34375
0.0,23,0.015625,0.039564898449312796,0.3125,0.296875
0.0,24,-0.125,0.03468133164902721,0.2265625,0.3515625
0.0,25,-0.125,0.04240828204622586,0.203125,0.328125
0.0,27,-0.1640625,0.03886000320572869,0.25,0.4140625
0.0,26,-0.0390625,0.03700664410272624,0.171875,0.2109375
0.0,28,-0.109375,0.03486900699847601,0.2265625,0.3359375
0.0,30,-0.1875,0.036646994973237416,0.125,0.3125
0.0,29,-0.1171875,0.03296182258912714,0.2109375,0.328125
0.0,31,-0.1796875,0.037619978459424545,0.125,0.3046875
0.0,32,-0.1484375,0.041863035339003346,0.1796875,0.328125
0.0,33,-0.234375,0.03641955122353061,0.1640625,0.3984375
0.0,34,-0.1953125,0.03696560567352486,0.2109375,0.40625
0.0,36,-0.0859375,0.03440921668366422,0.234375,0.3203125
0.0,38,-0.078125,0.03793167527471662,0.328125,0.40625
0.0,35,-0.140625,0.03727252619143931,0.1328125,0.2734375
0.0,37,-0.171875,0.03421771755320646,0.2265625,0.3984375
0.0,39,-0.1484375,0.034264958565368625,0.2265625,0.375
0.0,40,-0.1640625,0.03738148781260013,0.1484375,0.3125
0.0,41,-0.015625,0.035682705012399785,0.2421875,0.2578125
0.0,42,-0.21875,0.03873647417931195,0.1484375,0.3671875
0.0,43,-0.1796875,0.03649314280709575,0.203125,0.3828125
0.0,46,-0.046875,0.037504597443731684,0.3046875,0.3515625
0.0,45,-0.0859375,0.040467228048652035,0.1953125,0.28125
0.0,44,-0.109375,0.03767443138145222,0.21875,0.328125
0.0,47,-0.1953125,0.039732334776337135,0.1484375,0.34375
0.0,48,-0.2265625,0.03575789301445936,0.1328125,0.359375
0.0,50,-0.2109375,0.03899883481910404,0.140625,0.3515625
0.0,52,-0.1015625,0.03868119449330081,0.25,0.3515625
0.0,49,-0.2578125,0.03930956135798783,0.125,0.3828125
0.0,51,-0.140625,0.039842580017476245,0.1328125,0.2734375
0.0,54,0.015625,0.03700109135534906,0.2734375,0.2578125
0.0,53,-0.1640625,0.038324391453279226,0.1171875,0.28125
0.0,55,-0.109375,0.03564091852070754,0.2890625,0.3984375
0.0,56,-0.1640625,0.037299907579305194,0.171875,0.3359375
0.0,57,-0.1328125,0.03743364949879988,0.140625,0.2734375
0.0,58,-0.1484375,0.03820983498402426,0.2578125,0.40625
0.0,60,-0.21875,0.038947803896188835,0.140625,0.359375
0.0,59,-0.0703125,0.03511138811359966,0.2890625,0.359375
0.0,61,-0.1171875,0.03508594532374831,0.25,0.3671875
0.0,62,-0.015625,0.036981997332504894,0.1640625,0.1796875
0.0,63,-0.2109375,0.03931961243052711,0.1484375,0.359375
0.0,64,-0.125,0.04036427282114621,0.2421875,0.3671875
0.0,66,-0.046875,0.037340936398762944,0.21875,0.265625
0.0,65,-0.109375,0.0336267790276422,0.28125,0.390625
0.0,68,-0.1484375,0.03858591249654371,0.203125,0.3515625
0.0,69,0.0078125,0.039328454497616315,0.2578125,0.25
0.0,67,-0.1484375,0.0383560149827095,0.15625,0.3046875
0.0,70,-0.203125,0.03945800438644925,0.1875,0.390625
0.0,71,-0.1953125,0.038807944218602716,0.125,0.3203125
0.0,72,-0.25,0.03795802659699504,0.1875,0.4375
0.0,73,-0.0703125,0.034428665569333425,0.2890625,0.359375
0.0,74,-0.1953125,0.035530755017822685,0.1328125,0.328125
0.0,75,-0.0625,0.03579450314346233,0.296875,0.359375
0.0,77,-0.1640625,0.03930711555203625,0.2109375,0.375
0.0,76,-0.0546875,0.03895471333037725,0.2265625,0.28125
0.0,78,-0.171875,0.04029745208053843,0.1484375,0.3203125
0.0,79,-0.125,0.03914407477088795,0.28125,0.40625
0.0,81,0.015625,0.03965764684723559,0.375,0.359375
0.0,80,-0.1484375,0.04078012688897362,0.1796875,0.328125
0.0,83,-0.1484375,0.03801283154745676,0.203125,0.3515625
0.0,82,-0.09375,0.03618049798698973,0.234375,0.328125
0.0,85,0.015625,0.03614358714307999,0.25,0.234375
0.0,84,-0.1171875,0.0396894974510298,0.1875,0.3046875
0.0,86,-0.0546875,0.0379632591081725,0.2109375,0.265625
0.0,87,-0.0234375,0.03855956381031033,0.2890625,0.3125
0.0,89,0.0625,0.039582995673692334,0.296875,0.234375
0.0,88,-0.09375,0.030992514842937968,0.2578125,0.3515625
0.0,90,-0.1953125,0.03733001850867048,0.171875,0.3671875
0.0,92,-0.15625,0.03774108354585099,0.1796875,0.3359375
0.0,91,-0.15625,0.0368587242170866,0.1640625,0.3203125
0.0,94,-0.140625,0.03657790791221959,0.1953125,0.3359375
0.0,93,-0.0859375,0.04059107585697834,0.21875,0.3046875
0.0,95,-0.125,0.03695471963460319,0.234375,0.359375
0.0,97,-0.1484375,0.0368054514763528,0.234375,0.3828125
0.0,96,-0.140625,0.038921165189622214,0.25,0.390625
0.0,98,-0.125,0.03318591453429929,0.21875,0.34375
0.0,99,-0.140625,0.03473236415493486,0.140625,0.28125
0.0,100,-0.0234375,0.03646576438909156,0.296875,0.3203125
0.0,102,-0.09375,0.03786737910939055,0.125,0.21875
0.0,101,-0.203125,0.03450075811664562,0.140625,0.34375
0.0,103,-0.1171875,0.036238287383883024,0.2421875,0.359375
0.0,104,-0.2421875,0.03942720219430373,0.140625,0.3828125
0.0,105,-0.125,0.03802244159354282,0.1796875,0.3046875
0.0,106,-0.1171875,0.039750189913682066,0.21875,0.3359375
0.0,107,-0.140625,0.04224002140714152,0.2265625,0.3671875
0.0,109,-0.1484375,0.038252981064947754,0.203125,0.3515625
