variant,gain,config,sweep_dir,seed,speed_ratio,w_align,safe_frac,chi,chi_local,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,1,1.3,0.15,0.3359375,0.6837141036763932,4.635405040602261,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,0,1.3,0.15,0.40625,0.5409212059570838,5.185866500080865,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,3,1.3,0.15,0.3359375,0.7673415081140167,4.055315590381701,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,2,1.3,0.15,0.3515625,1.7065615186174306,0.027420511319061196,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,4,1.3,0.15,0.453125,0.3492352319152145,0.06857908176158876,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,5,1.3,0.15,0.390625,0.844851657736607,0.956903728512617,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,6,1.3,0.15,0.3359375,6.678829812234201,0.2285055366587346,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,7,1.3,0.15,0.2578125,0.3390959478972037,3.4214827726687966,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,8,1.3,0.15,0.28125,2.163178301503945,0.80353006547507,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,9,1.3,0.15,0.34375,3.4145025526012818,1.4490421134036133,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,10,1.3,0.15,0.375,3.852367040602866,0.25847826448644395,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,11,1.3,0.15,0.3046875,0.8740579380731507,0.34297161435459295,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,12,1.3,0.15,0.359375,2.357894644893814,1.8106757636209405,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,14,1.3,0.15,0.484375,0.7951615367894248,1.1154118954119265,0.0,0.0
