variant,gain,n,safe_mean,safe_ci95,chi_mean,chi_ci95,chi_local_mean,chi_local_ci95,varh_mean,varh_ci95,entropy_fluct_mean,entropy_fluct_ci95,corr_safe_varh
baseline,0.0,120,0.33736979166666664,0.0089916532397874,1.7547560357767937,0.26498789741347334,1.6443906588451143,0.30835337078010217,0.0,0.0,0.0,0.0,nan
baseline,0.25,120,0.3443359375,0.008913115138218596,1.8754918950457464,0.21972824675315886,1.6149530157220895,0.32332175402648555,0.0,0.0,0.0,0.0,nan
baseline,0.5,120,0.33346354166666664,0.008148652197844868,1.674581872973723,0.23466619941885425,1.6670653017855728,0.30970090011202295,0.0,0.0,0.0,0.0,nan
baseline,0.75,120,0.3292317708333333,0.009286858280079548,1.5251019748228325,0.23149612206206976,2.111815872929967,0.3527561035668989,0.0,0.0,0.0,0.0,nan
baseline,1.0,120,0.3359375,0.008842533086787483,1.56820409653281,0.21303588533445708,1.712151917260052,0.32549374270390513,0.0,0.0,0.0,0.0,nan
soc_varh,0.0,120,0.20572916666666666,0.010457812425996967,5.36091862469495,0.5340360702839583,0.34514836071741756,0.2034370216956087,0.03760645150646248,0.00038527396516555544,0.06718877543882958,0.0006814267933232268,-0.14760368984553687
soc_varh,0.25,120,0.19055989583333333,0.010159904465223496,4.892040749221095,0.5429118590653961,0.1525048019254169,0.10504188310868542,0.03799893303118133,0.0003551025031826703,0.06709321606154633,0.000632175942499767,-0.09291335569721679
soc_varh,0.5,120,0.1986328125,0.01061571572764438,4.48950461634801,0.466604073615926,0.1783789743940676,0.0988716664509598,0.03790675491578995,0.0004139250962731673,0.0668760392827729,0.000662866511144787,-0.15928782877748104
soc_varh,0.75,120,0.20182291666666666,0.011743219279228022,5.141350486042768,0.5286340345182232,0.21594257569380618,0.10579695909066189,0.038287612529318796,0.0003907914049930752,0.06711264228165661,0.0006838991428923323,-0.18975087026298665
soc_varh,1.0,120,0.19225260416666667,0.009265617357904737,4.840785338099071,0.487877979548699,0.30877609506997616,0.18126674792286712,0.03842066006051688,0.0003897555500981271,0.06704283613387349,0.0007270980199561633,-0.28158647747142473
